SOFile,GitFile,Line
FinalSO.csv0.txt,FinalGit.csv0.txt,3
FinalSO.csv1.txt,FinalGit.csv1.txt,3
FinalSO.csv29.txt,FinalGit.csv29.txt,14
FinalSO.csv43.txt,FinalGit.csv43.txt,10
FinalSO.csv53.txt,FinalGit.csv53.txt,4
FinalSO.csv859.txt,FinalGit.csv859.txt,3
FinalSO.csv860.txt,FinalGit.csv860.txt,25
FinalSO.csv861.txt,FinalGit.csv861.txt,18
FinalSO.csv862.txt,FinalGit.csv862.txt,18
FinalSO.csv863.txt,FinalGit.csv863.txt,18
FinalSO.csv871.txt,FinalGit.csv871.txt,5
FinalSO.csv873.txt,FinalGit.csv873.txt,4
FinalSO.csv874.txt,FinalGit.csv874.txt,4
FinalSO.csv875.txt,FinalGit.csv875.txt,4
FinalSO.csv876.txt,FinalGit.csv876.txt,4
FinalSO.csv877.txt,FinalGit.csv877.txt,4
FinalSO.csv878.txt,FinalGit.csv878.txt,4
FinalSO.csv879.txt,FinalGit.csv879.txt,4
FinalSO.csv880.txt,FinalGit.csv880.txt,4
FinalSO.csv886.txt,FinalGit.csv886.txt,3
FinalSO.csv3747.txt,FinalGit.csv3747.txt,5
FinalSO.csv3748.txt,FinalGit.csv3748.txt,3
FinalSO.csv3750.txt,FinalGit.csv3750.txt,4
FinalSO.csv3754.txt,FinalGit.csv3754.txt,4
FinalSO.csv3764.txt,FinalGit.csv3764.txt,3
FinalSO.csv3771.txt,FinalGit.csv3771.txt,8
FinalSO.csv3772.txt,FinalGit.csv3772.txt,5
FinalSO.csv3779.txt,FinalGit.csv3779.txt,14
FinalSO.csv3780.txt,FinalGit.csv3780.txt,13
FinalSO.csv3789.txt,FinalGit.csv3789.txt,6
FinalSO.csv3790.txt,FinalGit.csv3790.txt,6
FinalSO.csv3794.txt,FinalGit.csv3794.txt,8
FinalSO.csv3795.txt,FinalGit.csv3795.txt,7
FinalSO.csv3796.txt,FinalGit.csv3796.txt,3
FinalSO.csv3798.txt,FinalGit.csv3798.txt,17
FinalSO.csv3802.txt,FinalGit.csv3802.txt,28
FinalSO.csv3812.txt,FinalGit.csv3812.txt,4
FinalSO.csv3825.txt,FinalGit.csv3825.txt,4
FinalSO.csv3827.txt,FinalGit.csv3827.txt,5
FinalSO.csv3828.txt,FinalGit.csv3828.txt,4
FinalSO.csv3832.txt,FinalGit.csv3832.txt,3
FinalSO.csv3836.txt,FinalGit.csv3836.txt,5
FinalSO.csv3838.txt,FinalGit.csv3838.txt,11
FinalSO.csv3843.txt,FinalGit.csv3843.txt,8
FinalSO.csv3844.txt,FinalGit.csv3844.txt,4
FinalSO.csv3850.txt,FinalGit.csv3850.txt,3
FinalSO.csv3853.txt,FinalGit.csv3853.txt,11
FinalSO.csv3858.txt,FinalGit.csv3858.txt,10
FinalSO.csv3859.txt,FinalGit.csv3859.txt,7
FinalSO.csv3860.txt,FinalGit.csv3860.txt,3
FinalSO.csv3861.txt,FinalGit.csv3861.txt,3
FinalSO.csv3862.txt,FinalGit.csv3862.txt,3
FinalSO.csv3863.txt,FinalGit.csv3863.txt,3
FinalSO.csv3868.txt,FinalGit.csv3868.txt,15
FinalSO.csv3871.txt,FinalGit.csv3871.txt,4
FinalSO.csv3872.txt,FinalGit.csv3872.txt,12
FinalSO.csv3873.txt,FinalGit.csv3873.txt,12
FinalSO.csv3874.txt,FinalGit.csv3874.txt,6
FinalSO.csv3876.txt,FinalGit.csv3876.txt,27
FinalSO.csv3878.txt,FinalGit.csv3878.txt,3
FinalSO.csv3884.txt,FinalGit.csv3884.txt,6
FinalSO.csv3887.txt,FinalGit.csv3887.txt,6
FinalSO.csv3888.txt,FinalGit.csv3888.txt,5
FinalSO.csv3889.txt,FinalGit.csv3889.txt,5
